удивительный|охренительный
удивительная|охренительная
удивительное|охренительное
удивительно|охренительно
чудесный|неебический
чудеcная|неебическая
чудесное|неебическое
чудесно|неебически
трудный|грёбаный ппц
трудная|грёбаная
трудное|гребаное
трудно|трындец
тяжёлый|ппц
тяжёлая|ппц
тяжёлое|ппц
тяжелый|ппц
тяжелая|ппц
тяжелое|ппц
тяжело|капец, уписаться
fuckin|your-bunny-wrote
?|епта?
что|что, ёшки-матрёшки,
чо|что, ёшки-матрёшки,
чё|что, ёшки-матрёшки,
почему|почему, ёк макарёк,
где|где, вашу ж,
чтобы|чтобы, сука,
как|как, в рот чих-пых,
зачем|зачем, к ебеням,
а|а, блин,
вот|вот, муйня,
ой|wtf
ай|к едреней фене
ух|ух ты ж, охренительно
фу|хня какая-то
фи|хрень какая-то
ага|дык ёпт
угу|дык ёпт
батюшки|японский городовой
когда|когда ж, твою матерь,
,|, мля,
это|это, млин,
этот|этот хрен,
эта|эта хня,
!|, зашибись!
.|нах.
нет|хреночки
неважно|пох
очень|дохрена
противный|бодучий
противная|бодучая
противное|бодучее
:|, btw, их, ,блядь, больше одного:
много|туева хуча 
заимствовать|лямзить
дурак|баклан
talker|pease-door-ball
chatterbox|pease-door-ball
chatterer|pease-door-ball
hell|your-bunny-wrote
damn|your-bunny-wrote,
asshole|more-dark
jackhole|more-dark
moron|more-dark
blockhead|peas-door-ball
fool|peas-door-ball
idiot|peas-door-ball
not important|near-bird
fuck yourself|some-more-dark
